ElementId,Category,LOD_Stage,loin_pass,missing_list,lod_score,final_status,checked_on
﻿﻿1666503,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666505,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666507,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666509,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666511,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666589,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666591,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666593,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666595,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666597,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666659,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666687,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666713,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666772,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666774,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666776,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666778,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666780,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666799,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666807,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666835,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666837,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666839,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666841,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666843,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666888,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666890,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666892,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666894,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666896,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1667162,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1667184,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1663926,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1663930,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1663934,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1663938,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666319,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666320,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666321,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666322,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666403,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666404,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666405,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666406,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666489,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666490,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666491,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666492,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666575,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666576,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666577,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666578,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666657,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666685,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666711,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666755,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666756,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666757,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666758,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666797,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666805,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666821,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666822,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666823,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666824,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666874,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666875,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666876,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666877,Walls,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
