ElementId,Category,Type Name,Level,ApprovedLabel,MissingList,Assembly Code,ConnCount,ConnSizes_m,Default Thickness,Description,EndX_m,EndY_m,EndZ_m,Fire Rating,Insulation Thickness,Length_m,Lining Thickness,Material,Model,Service Type,StartX_m,StartY_m,StartZ_m,Structural,SurfaceArea_m2,System Type,Type Mark,Volume_m3,Width,is_missing_Default Thickness,is_missing_Model,is_missing_Service Type,is_missing_System Type,is_missing_Type Mark,is_missing_Width
﻿1666798,Ducts,Radius Elbows / Tees,L1,Pass,,FG-87,2,,,,365.98232824795463,-284.87938922665887,1.5000000000000002,,25 mm,21.0,25 mm,,,,365.98232824795463,-305.87938922665887,1.5000000000000002,,25.380000000000056,Supply Air,TYU-82,1.8900000000000079,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666806,Ducts,Radius Elbows / Tees,L1,Pass,,FG-87,2,,,,365.9823282479548,-197.87938922665887,1.5000000000000002,,25 mm,21.0,25 mm,,,,365.9823282479548,-218.87938922665887,1.5000000000000002,,25.380000000000056,Supply Air,TYU-82,1.8900000000000079,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666825,Ducts,Radius Elbows / Tees,L1,Pass,,FG-87,2,,,,165.46207009752476,-155.25749260901767,1.5000000000000002,,25 mm,21.0,25 mm,,,,165.46207009752473,-176.25749260901767,1.5000000000000002,,25.380000000000056,Supply Air,TYU-82,1.8900000000000079,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666826,Ducts,Radius Elbows / Tees,L1,Pass,,FG-87,2,,,,183.8607187054632,-153.23544384737215,1.5000000000000002,,25 mm,17.000000000000004,0 mm,,,,166.8607187054632,-153.2354438473721,1.5000000000000002,,20.580000000000059,Return Air,TYU-82,1.5300000000000069,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666827,Ducts,Default,L1,Fail,Type Mark:regex_fail,FR-02,2,D=0.3000;D=0.3000,,,241.8655543532293,-208.73099521443282,1.5000000000000002,,25 mm,11.000000000000002,25 mm,,,,241.86555435322927,-219.73099521443282,1.5000000000000002,,10.508606170523075,Exhaust Air,GHT,0.77750521291637997,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666878,Ducts,Radius Elbows / Tees,L1,Pass,,FG-87,2,,,,177.46207009752473,-306.58707727428578,1.5000000000000002,,25 mm,21.0,25 mm,,,,177.4620700975247,-327.58707727428583,1.5000000000000002,,25.380000000000056,Supply Air,TYU-82,1.8900000000000079,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666879,Ducts,Radius Elbows / Tees,L1,Pass,,FG-87,2,,,,195.86071870546323,-268.60496007333029,1.5000000000000002,,25 mm,17.000000000000004,0 mm,,,,178.8607187054632,-268.60496007333023,1.5000000000000002,,20.580000000000059,Return Air,TYU-82,1.5300000000000069,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666880,Ducts,Default,L1,Fail,Type Mark:regex_fail,FR-02,2,D=0.3000;D=0.3000,,,249.97366554266611,-317.43868326205978,1.5000000000000002,,25 mm,11.000000000000002,25 mm,,,,249.97366554266608,-328.43868326205978,1.5000000000000002,,10.508606170523075,Exhaust Air,GHT,0.77750521291637997,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1666987,Ducts,Radius Elbows / Tees,L1,Pass,,FG-87,2,,,,94.554494919709953,292.67084391023684,1.5000000000000002,,0 mm,245.03341610874071,0 mm,,,,-150.47892118903076,292.67084391023764,1.5000000000000002,,564.08685705010225,Supply Air,TYU-82,62.483521107728258,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
﻿1667026,Ducts,Radius Elbows / Tees,L1,Pass,,FG-87,2,,,,-225.44777188436913,-309.16588823901105,1.4999999999998628,,0 mm,245.03341610874071,0 mm,,,,-470.48118799310987,-309.16588823901026,1.4999999999998628,,1226.487080543696,Supply Air,TYU-82,161.72205463176783,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
